"Date","総数","アジア計","韓国","中国","台湾","香港","タイ","シンガポール","マレーシア","インドネシア","フィリピン","ベトナム","インド","イスラエル","トルコ","ヨーロッパ計","英国","フランス","ドイツ","イタリア","ロシア","スペイン","スウェーデン","オランダ","スイス","ベルギー","フィンランド","ポーランド","デンマーク","ノルウェー","オーストリア","ポルトガル","アイルランド","アフリカ計","北アメリカ計","米国","カナダ","メキシコ","南アメリカ計","ブラジル","オセアニア計","豪州","ニュージーランド","無国籍・その他","マカオ","モンゴル","その他アジア","その他ヨーロッパ","その他北アメリカ","その他南アメリカ","その他オセアニア"
2009-03-01,568586,386141,108350,100951,75391,30519,24025,9557,8993,4419,6345,3611,4633,1294,719,76002,18837,12193,11881,4496,3891,3431,2999,2898,2195,1368,2061,720,1385,1303,1364,664,936,1610,81098,64921,14444,1254,2680,1411,20994,18096,2605,61,,,,,,,
2009-04-01,626313,438297,113313,106816,91268,44968,29049,11964,9161,4646,9276,3059,4764,1763,673,85155,20204,17919,11046,6067,3578,4063,2627,3154,2793,1563,1744,914,1233,878,1219,850,946,1885,78751,61708,14618,1842,3215,1565,18923,15929,2784,87,,,,,,,
2009-05-01,485713,331379,117897,60530,70297,27769,14046,9339,5563,3504,6743,2402,5618,908,889,63872,13286,13041,9076,4808,3666,2630,1984,2386,1887,1154,1471,748,1006,763,1092,610,722,1500,71742,58595,12184,586,2844,1343,14343,11995,2063,33,,,,,,,
2009-06-01,424427,271225,104237,36597,61144,26199,5952,8767,4604,5230,4822,2225,4455,768,604,54211,11376,9103,7529,4197,3800,2552,2228,2016,1624,1036,1682,587,942,796,901,565,834,1680,79509,67762,10523,862,2342,1182,15427,12778,2295,33,,,,,,,
2009-07-01,632722,449944,170240,67944,115734,48951,9631,6839,4907,4719,5193,2511,4889,982,673,73272,16174,13779,8653,5346,4327,5104,1845,3229,2320,1324,1686,833,1246,803,1261,683,981,1834,86662,70373,14100,1726,2804,1573,18164,15211,2700,42,,,,,,,
2009-08-01,679586,510424,190987,109017,114751,47134,8085,6922,4977,4024,5804,2874,5189,812,653,75323,14943,13917,8594,9683,4042,7184,1681,2344,1633,1023,1254,802,786,597,1130,1104,868,1949,73374,58044,13429,1336,2606,1243,15860,13358,2222,50,,,,,,,
2009-09-01,535544,377937,105470,98697,77471,32657,11863,9336,7761,10638,5036,3403,5502,1296,643,65356,14418,10159,9696,4901,3637,3985,2018,2425,2073,1109,1155,872,1062,745,1554,670,745,1767,65276,52322,10869,1605,3205,1530,21953,18833,2895,50,,,,,,,
2009-10-01,655481,455817,131195,108301,97996,39823,24619,13592,8459,5587,6138,3397,5274,1673,872,85370,18288,15256,12646,5764,4500,4647,3267,3533,2769,1563,1683,1017,1728,875,1428,791,1076,2194,83816,66577,14504,2147,4417,2211,23807,19907,3657,60,,,,,,,
2009-11-01,565089,401421,130371,81462,85335,32125,14298,19871,9718,5484,5551,3330,5133,979,649,66104,15264,10219,10446,4261,4469,2827,2384,2787,1829,1248,1118,759,1084,803,1110,619,862,1883,72422,57866,12375,1679,3300,1725,19917,17289,2419,42,,,,,,,
2009-12-01,626896,467392,178027,62527,78631,50752,16686,34924,14781,9902,5865,2488,4195,584,481,57320,13767,9905,6835,4827,3667,2964,1913,2447,1479,920,1294,536,784,727,864,911,816,1524,70940,55608,13342,1657,2260,1244,27384,24243,2996,76,,,,,,,
2010-01-01,640346,493088,232053,92120,89849,30522,9881,6577,4689,3735,6532,2737,5758,715,617,51228,12261,8218,6899,3528,4119,1767,1904,1995,1317,895,1193,465,906,729,886,524,827,1609,61695,48643,11132,1374,2587,1377,30096,26904,2942,43,,,,,,,
2010-02-01,664982,528289,197784,121494,105416,52235,9944,10791,7943,3363,4505,2652,3999,611,531,53585,15630,8700,7293,3332,2450,1942,1848,2134,1335,892,1090,457,1091,641,938,754,683,1599,56502,43645,11484,1001,2009,892,22917,20631,2092,81,,,,,,,
2010-03-01,709684,508114,169295,123314,89524,36366,28340,13469,12130,6381,7907,4606,5310,1993,886,84323,17809,13265,14141,6235,4478,4338,3384,3064,2667,1401,1942,928,1742,1467,1395,843,1076,1751,89040,71553,15125,1906,3261,1841,23142,20473,2445,53,,,,,,,
2010-04-01,788212,595499,189582,150788,109680,46598,36817,13817,11482,6774,8575,4000,5557,2225,871,81550,18419,17451,10196,5536,5021,2706,2998,2934,2903,1758,1526,1193,1070,741,1196,865,864,1718,84148,66879,15332,1437,3889,2317,21342,18383,2746,66,,,,,,,
